Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,
137,27 Aug 2019 02:19:55.376,27 Aug 2019 02:30:01.482,606.106,,
138,27 Aug 2019 03:55:52.330,27 Aug 2019 04:06:30.308,637.979,,
139,27 Aug 2019 05:33:05.559,27 Aug 2019 05:43:05.757,600.198,,
140,27 Aug 2019 07:10:04.779,27 Aug 2019 07:20:18.755,613.976,,
141,27 Aug 2019 08:46:29.843,27 Aug 2019 08:57:12.888,643.045,,
142,27 Aug 2019 10:23:22.002,27 Aug 2019 10:32:06.042,524.04,,
143,28 Aug 2019 01:26:43.525,28 Aug 2019 01:35:52.674,549.149,,
144,28 Aug 2019 03:01:53.758,28 Aug 2019 03:12:37.225,643.468,,
145,28 Aug 2019 04:38:53.809,28 Aug 2019 04:49:03.945,610.136,,
146,28 Aug 2019 06:16:04.289,28 Aug 2019 06:26:06.918,602.629,,
147,28 Aug 2019 07:52:36.640,28 Aug 2019 08:03:17.208,640.569,,
148,28 Aug 2019 09:29:08.935,28 Aug 2019 09:39:01.437,592.502,,
149,29 Aug 2019 00:34:00.416,29 Aug 2019 00:41:24.945,444.529,,
150,29 Aug 2019 02:08:05.854,29 Aug 2019 02:18:42.922,637.069,,
151,29 Aug 2019 03:44:42.764,29 Aug 2019 03:55:06.373,623.61,,
152,29 Aug 2019 05:21:59.230,29 Aug 2019 05:31:56.379,597.149,,
153,29 Aug 2019 06:58:43.018,29 Aug 2019 07:09:13.017,629.998,,
154,29 Aug 2019 08:35:07.292,29 Aug 2019 08:45:35.473,628.182,,
155,29 Aug 2019 10:12:53.531,29 Aug 2019 10:18:57.833,364.302,,
156,29 Aug 2019 23:42:23.129,29 Aug 2019 23:46:01.046,217.917,,
157,30 Aug 2019 01:14:31.899,30 Aug 2019 01:24:44.529,612.63,,
158,30 Aug 2019 02:50:35.601,30 Aug 2019 03:01:11.878,636.277,,
159,30 Aug 2019 04:27:50.065,30 Aug 2019 04:37:49.286,599.221,,
160,30 Aug 2019 06:04:47.050,30 Aug 2019 06:15:03.441,616.391,,
161,30 Aug 2019 07:41:11.474,30 Aug 2019 07:51:53.723,642.25,,
162,30 Aug 2019 09:18:08.908,30 Aug 2019 09:26:36.232,507.324,,
163,31 Aug 2019 00:21:16.263,31 Aug 2019 00:30:37.750,561.487,,
164,31 Aug 2019 01:56:35.501,31 Aug 2019 02:07:18.729,643.228,,
165,31 Aug 2019 03:33:38.474,31 Aug 2019 03:43:46.672,608.198,,
166,31 Aug 2019 05:10:47.284,31 Aug 2019 05:20:51.682,604.398,,
167,31 Aug 2019 06:47:18.080,31 Aug 2019 06:57:59.835,641.755,,
168,31 Aug 2019 08:23:52.906,31 Aug 2019 08:33:36.228,583.322,,
169,31 Aug 2019 23:28:27.078,31 Aug 2019 23:36:14.348,467.27,,
170,1 Sep 2019 01:02:45.541,1 Sep 2019 01:13:24.779,639.237,,
171,1 Sep 2019 02:39:27.085,1 Sep 2019 02:49:48.421,621.335,,
172,1 Sep 2019 04:16:42.979,1 Sep 2019 04:26:40.749,597.77,,
173,1 Sep 2019 05:53:24.634,1 Sep 2019 06:03:56.905,632.271,,
174,1 Sep 2019 07:29:49.744,1 Sep 2019 07:40:13.456,623.712,,
175,1 Sep 2019 09:07:50.470,1 Sep 2019 09:13:16.027,325.557,,
176,1 Sep 2019 22:36:30.771,1 Sep 2019 22:41:07.725,276.954,,
177,2 Sep 2019 00:09:08.922,2 Sep 2019 00:19:27.286,618.365,,
178,2 Sep 2019 01:45:19.026,2 Sep 2019 01:55:53.473,634.446,,
179,2 Sep 2019 03:22:34.416,2 Sep 2019 03:32:32.955,598.539,,
180,2 Sep 2019 04:59:29.140,2 Sep 2019 05:09:48.046,618.906,,
181,2 Sep 2019 06:35:53.147,2 Sep 2019 06:46:34.146,640.999,,
182,2 Sep 2019 08:12:56.645,2 Sep 2019 08:21:05.236,488.591,,
183,2 Sep 2019 23:15:49.717,2 Sep 2019 23:25:22.289,572.572,,
184,3 Sep 2019 00:51:17.496,3 Sep 2019 01:02:00.185,642.689,,
185,3 Sep 2019 02:28:23.068,3 Sep 2019 02:38:29.535,606.467,,
186,3 Sep 2019 04:05:30.062,3 Sep 2019 04:15:36.457,606.395,,
187,3 Sep 2019 05:41:59.472,3 Sep 2019 05:52:42.135,642.663,,
188,3 Sep 2019 07:18:37.264,3 Sep 2019 07:28:10.249,572.985,,
189,3 Sep 2019 22:22:55.041,3 Sep 2019 22:31:02.606,487.564,,
190,3 Sep 2019 23:57:25.569,4 Sep 2019 00:08:06.485,640.917,,
191,4 Sep 2019 01:34:11.429,4 Sep 2019 01:44:30.552,619.123,,
192,4 Sep 2019 03:11:26.518,4 Sep 2019 03:21:25.201,598.682,,
193,4 Sep 2019 04:48:06.123,4 Sep 2019 04:58:40.568,634.445,,
194,4 Sep 2019 06:24:32.375,4 Sep 2019 06:34:50.859,618.484,,
195,4 Sep 2019 08:02:51.453,4 Sep 2019 08:07:29.802,278.349,,
196,4 Sep 2019 21:30:45.000,4 Sep 2019 21:36:07.944,322.945,,
197,4 Sep 2019 23:03:46.392,4 Sep 2019 23:14:09.763,623.371,,
198,5 Sep 2019 00:40:02.571,5 Sep 2019 00:50:35.088,632.517,,
199,5 Sep 2019 02:17:18.591,5 Sep 2019 02:27:16.739,598.148,,
200,5 Sep 2019 03:54:11.044,5 Sep 2019 04:04:32.527,621.483,,
201,5 Sep 2019 05:30:34.867,5 Sep 2019 05:41:14.109,639.242,,
202,5 Sep 2019 07:07:45.346,5 Sep 2019 07:15:32.877,467.531,,
203,5 Sep 2019 22:10:23.808,5 Sep 2019 22:20:06.344,582.536,,
204,5 Sep 2019 23:45:59.696,5 Sep 2019 23:56:41.587,641.89,,
205,6 Sep 2019 01:23:07.561,6 Sep 2019 01:33:12.505,604.944,,
206,6 Sep 2019 03:00:12.619,6 Sep 2019 03:10:21.198,608.579,,
207,6 Sep 2019 04:36:40.809,6 Sep 2019 04:47:24.077,643.269,,
208,6 Sep 2019 06:13:22.032,6 Sep 2019 06:22:43.434,561.402,,
209,6 Sep 2019 21:17:24.105,6 Sep 2019 21:25:49.881,505.775,,
210,6 Sep 2019 22:52:05.893,6 Sep 2019 23:02:48.051,642.158,,
211,7 Sep 2019 00:28:55.770,7 Sep 2019 00:39:12.756,616.986,,
